WEO Country Code,ISO,Country,Region,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
528,TWN,Taiwan Province of China,Asia,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office. Data retrieved from CEIC Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Expenditure-based measure Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: No Primary domestic currency: New Taiwan dollar Data last updated: 09/2021,"10,328.55","10,119.43","10,630.91","10,924.03","11,596.24","12,036.68","12,572.59","13,363.92","13,115.10","12,919.45","14,060.35","14,262.20","14,677.77","15,270.73","16,258.05","17,055.08","17,555.27","17,983.35","18,375.02","18,932.53","19,766.24","21,967.25",2020
528,TWN,Taiwan Province of China,Asia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",330.68,299.276,307.439,317.381,346.924,374.06,386.45,406.907,415.901,390.829,444.281,483.974,495.61,512.943,535.328,534.515,543.081,590.733,609.198,612.168,668.156,785.589,2020
528,TWN,Taiwan Province of China,Asia,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","463,648.66","451,647.96","472,049.05","483,266.82","511,092.54","528,611.00","549,584.60","582,093.71","569,304.96","558,805.04","607,040.43","614,090.64","629,519.52","653,334.63","693,787.59","725,992.95","745,769.13","762,936.40","778,967.95","802,119.56","838,930.52","934,004.54",2020
528,TWN,Taiwan Province of China,Asia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","14,844.24","13,357.20","13,651.36","14,040.60","15,290.31","16,427.46","16,892.88","17,723.70","18,053.59","16,904.54","19,181.36","20,838.59","21,256.36","21,945.46","22,844.32","22,752.99","23,070.73","25,061.62","25,825.57","25,935.90","28,358.30","33,401.71",2020
528,TWN,Taiwan Province of China,Asia,"Inflation, end of period consumer prices",Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",1.641,-1.685,0.768,-0.059,1.619,2.206,0.678,3.333,1.26,-0.247,1.236,2.028,1.613,0.338,0.602,0.132,1.693,1.216,-0.059,1.143,0.049,1.6,2020
528,TWN,Taiwan Province of China,Asia,Unemployment rate,Percent of total labor force,,"Source: National Statistics Office. Directorate-General of Budget, Accounting and Statistics Latest actual data: 2020 Employment type: National definition. Labor Force It is defined as those civilians who, during the reference week, are 15 years of age or over and who are available to work, including both the employed and the unemployed. Employed Population Including all persons who, during the reference week, work for pay or work for 15 hours or more as unpaid family workers. Unemployed Population Including all the persons who, during the reference week, are 15 years of age or over and under the following conditions: - No job - Available to work - Seeking for a job, or had sought work waiting for result. Besides, the unemployed population also includes the persons who are waiting to recall or start a new job but not working and paid yet Primary domestic currency: New Taiwan dollar Data last updated: 09/2021",2.99,4.57,5.17,4.99,4.44,4.13,3.91,3.91,4.14,5.85,5.21,4.39,4.24,4.18,3.96,3.78,3.92,3.76,3.71,3.73,3.85,3.8,2020
528,TWN,Taiwan Province of China,Asia,Population,Persons,Millions,"Source: National Statistics Office. Data retrieved from CEIC. Original source is Directorate-General of Budget, Accounting and Statistics Latest actual data: 2020 Primary domestic currency: New Taiwan dollar Data last updated: 09/2021",22.277,22.406,22.521,22.605,22.689,22.77,22.877,22.958,23.037,23.12,23.162,23.225,23.316,23.374,23.434,23.492,23.54,23.571,23.589,23.603,23.561,23.519,2020
528,TWN,Taiwan Province of China,Asia,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,Source: Ministry of Finance or Treasury. Data retrieved from CEIC Latest actual data: 2020 Notes: We do not have data on policy lending. Fiscal assumptions: Projections for 2021-26 are based on the assumptions underlying the IMF staff's medium-term macroeconomic scenario. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Social Security Funds; Valuation of public debt: Nominal value. General government gross debt includes non-self redeeming debt maturity >= 1 year. Instruments included in gross and net debt: Currency and Deposits; Securities Other than Shares; Loans Primary domestic currency: New Taiwan dollar Data last updated: 09/2021,"10,328.55","10,119.43","10,630.91","10,924.03","11,596.24","12,036.68","12,572.59","13,363.92","13,115.10","12,919.45","14,060.35","14,262.20","14,677.77","15,270.73","16,258.05","17,055.08","17,555.27","17,983.35","18,375.02","18,932.53","19,766.24","21,967.25",2020
112,GBR,United Kingdom,Europe,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: Yes, from before 1980 Primary domestic currency: British pound Data last updated: 09/2021","1,095.90","1,138.38","1,187.67","1,256.19","1,317.46","1,393.04","1,470.72","1,546.09","1,589.26","1,548.51","1,606.03","1,660.14","1,711.77","1,780.34","1,863.01","1,919.64","1,994.71","2,068.76","2,141.79","2,218.44","2,112.04","2,235.60",2020
112,GBR,United Kingdom,Europe,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,661.34","1,639.08","1,782.89","2,052.79","2,413.13","2,535.64","2,709.83","3,094.59","2,952.33","2,421.02","2,484.02","2,660.79","2,704.50","2,785.06","3,067.12","2,933.43","2,703.24","2,664.71","2,860.98","2,833.30","2,709.68","3,108.42",2020
